incident_id,incident_description,root_cause,corrective_action_type,preventive_action_type,severity_level
INC-2024-2078,Dissolution apparatus BLD-501 paddle speed not verified prior to testing batch A2479C. Speed found at 42 rpm instead of specified 100 rpm.,Equipment Failure,Process parameter adjustment,Implement preventive maintenance schedule,Low
INC-2024-2079,API assay for lot LOT-37515 from ExciPure Corp measured 108.9% against specification of 94.0% to 107.0%.,Material / Supplier Defect,Root cause investigation and CAPA report,Enhance supplier qualification process,Low
INC-2024-2080,Bulk density of Active Pharmaceutical Ingredient lot LOT-42475 from ChemSource Inc outside specification. Compressibility index of 5.5% exceeds limit affecting downstream processing.,Material / Supplier Defect,Document revision and re-issuance,Add in-process checks at critical steps,High
INC-2024-2081,QA analyst OP-1535 released batch C4189A without reviewing all in-process deviation records. One unresolved deviation found post-release during annual product review.,Human Error,Root cause investigation and CAPA report,Introduce dual-person verification,Medium
INC-2024-2082,Freeze dryer BLD-775 experienced shelf temperature excursion during primary drying of batch E7651C. Shelf temperature rose 34.3 degrees C above the validated specification limit.,Equipment Failure,Process parameter adjustment,Implement preventive maintenance schedule,Low
INC-2024-2083,Relative humidity in manufacturing suite Room 202 rose to 74.0% exceeding limit for 5.8 hours during batch B4986C processing.,Environmental Control Failure,Root cause investigation and CAPA report,Increase monitoring frequency,Low
INC-2024-2084,In-process pH of batch E9529C drifted to 4.3 outside validated range of 4.5 to 8.0 during granulation step.,Process Deviation,Deep cleaning and sanitisation,Upgrade software with validation,Medium
INC-2024-2085,Calibration certificate for CEN-328 expired 74 days before use during batch D7869B manufacture. Expired status not identified before equipment use.,Documentation Error,Process parameter adjustment,Introduce dual-person verification,Low
INC-2024-2086,Mixing time for batch A4783A reduced to 19.3 minutes due to equipment issue. Validated minimum mixing time is 29 minutes. Blend uniformity testing initiated.,Process Deviation,Process parameter adjustment,Introduce dual-person verification,High
INC-2024-2087,Double dispensing of Magnesium Stearate occurred for batch D1896B. Operator OP-4086 did not check previous dispensing record. Total weight 23.6% above specification.,Human Error,Operator retraining,Revise SOP with enhanced controls,Medium
INC-2024-2088,Batch record for batch B2983A missing authorised signature at step 2 covering coating. Deviation raised during QA batch record review.,Documentation Error,Operator retraining,Deploy continuous training programme,Low
INC-2024-2089,Double dispensing of Magnesium Stearate occurred for batch B2504A. Operator OP-8854 did not check previous dispensing record. Total weight 20.6% above specification.,Human Error,Operator retraining,Revise SOP with enhanced controls,Medium
INC-2024-2090,Environmental monitoring trend shows increasing CFU counts in Room A101 over 27 days. Action limit breached during batch A2769B manufacturing period.,Environmental Control Failure,Product recall and destruction,Install automated alarm and alert system,Medium
INC-2024-2091,Ambient temperature in dispensary Room D104 rose to 28.8 degrees C for 1.2 hours. Temperature-sensitive raw materials dispensed for batch B8464A during exceedance.,Environmental Control Failure,Batch quarantine and investigation,Increase monitoring frequency,High
INC-2024-2092,Raw material Active Pharmaceutical Ingredient from supplier ExciPure Corp failed identity test on lot LOT-61909. COA confirmed identity but FTIR spectrum did not match approved reference standard.,Material / Supplier Defect,Batch quarantine and investigation,Upgrade software with validation,High
INC-2024-2093,Mixing time for batch C6237C reduced to 31.5 minutes due to equipment issue. Validated minimum mixing time is 46 minutes. Blend uniformity testing initiated.,Process Deviation,Root cause investigation and CAPA report,Revise SOP with enhanced controls,High
INC-2024-2094,Operator OP-4414 set drying temperature to 67.6 degrees C instead of specified 33.0 degrees C for batch C4691A. Deviation noted after 6.5 hours of processing.,Human Error,Document revision and re-issuance,Revise SOP with enhanced controls,Medium
INC-2024-2095,Water purification system TBL-851 conductivity exceeded 2.5 uS/cm limit. Batch E6868B manufactured with potentially non-compliant purified water. Batch quarantined.,Equipment Failure,Deep cleaning and sanitisation,Install automated alarm and alert system,High
INC-2024-2096,API assay for lot LOT-48524 from BioRaw GmbH measured 95.1% against specification of 92.5% to 107.3%.,Material / Supplier Defect,Document revision and re-issuance,Add in-process checks at critical steps,Medium
INC-2024-2097,Out-of-specification result for batch C8233C not reported within required timeframe. Reporting delay of 2.2 hours above the required notification limit.,Documentation Error,Document revision and re-issuance,Introduce dual-person verification,Low
INC-2024-2098,QC analyst OP-4649 applied incorrect sampling plan to batch D7160B incoming testing. Not trained on updated sampling procedure. Training record gap confirmed.,Training Gap,Operator retraining,Revise SOP with enhanced controls,Low
INC-2024-2099,Water purification system BLD-680 conductivity exceeded 1.7 uS/cm limit. Batch C6398C manufactured with potentially non-compliant purified water. Batch quarantined.,Equipment Failure,Root cause investigation and CAPA report,Install automated alarm and alert system,Medium
INC-2024-2100,pH meter TBL-448 gave inconsistent readings during in-process checks on batch B4991B. Calibration check failed with 0.11 pH unit drift from standard.,Equipment Failure,Equipment repair and recalibration,Install automated alarm and alert system,Low
INC-2024-2101,Two raw material lots LOT-75502 and LOT-60213 mixed in dispensary during weighing for batch D5660B. Mix-up detected by second operator during verification check.,Human Error,Document revision and re-issuance,Revise SOP with enhanced controls,Low
INC-2024-2102,Training record for operator OP-9849 does not include current version of SOP SOP-081. Operator performed dispensing without current documented qualification.,Documentation Error,Document revision and re-issuance,Deploy continuous training programme,Low
INC-2024-2103,Batch record for batch B3768B missing authorised signature at step 15 covering final mix. Deviation raised during QA batch record review.,Documentation Error,Operator retraining,Introduce dual-person verification,Medium
INC-2024-2104,Visual inspection of batch B4199B identified 22 units with visible particulate matter. Batch held pending particle identification and risk assessment.,Process Deviation,Deep cleaning and sanitisation,Add in-process checks at critical steps,Medium
INC-2024-2105,Non-viable particle count in Grade A zone exceeded specification during aseptic filling of batch A6573C. 50 particles per m3 recorded. Filling halted for investigation.,Environmental Control Failure,Product recall and destruction,Increase monitoring frequency,High
INC-2024-2106,Gowning procedure not followed correctly by operator OP-2416 entering Grade A filling zone during batch E9970C filling operation. Non-compliance confirmed by CCTV review.,Human Error,Operator retraining,Enhance supplier qualification process,Medium
INC-2024-2107,Operator OP-1210 added 22.8% excess of Povidone to batch E6725A during dispensing. Error not detected until in-process check. Batch placed on hold for investigation.,Human Error,Deep cleaning and sanitisation,Deploy continuous training programme,High
INC-2024-2108,Viable particle count in Grade B area exceeded action limit. 5 CFU per m3 detected at sample point during batch B8511C manufacture.,Environmental Control Failure,Product recall and destruction,Install automated alarm and alert system,Medium
INC-2024-2109,Operator OP-8173 initiated compression of batch B9468A without completing blend uniformity check. Procedural step bypassed without authorisation.,Human Error,Operator retraining,Install automated alarm and alert system,Low
INC-2024-2110,Incorrect cleaning agent applied to equipment AC-305 following batch A8019A processing. Cleaning SOP not consulted prior to cleaning. Contamination risk assessed.,Human Error,Root cause investigation and CAPA report,Revise SOP with enhanced controls,Medium
